corename,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Sum of 0<.L.<=1.000000,Sum of 1.0000000<.L.<=2.0000000,Sum of 2.0000000<.L.<=3.0000000,Sum of 3.0000000<.L.<=4.0000000,Sum of .L.>4.0000000,L00,L10,L20,L30,L40
C1216,1040.3791,53.9132,169.3737,2.0915,889.1,141.6,9.1,0.5,0,1040.3,151.2,9.6,0.5,0
C2609,3426.7596,182.5731,573.5704,2.4991,2993.9,318.2,75,26.3,12.3,3425.7,431.8,113.6,38.6,12.3
C2803,745.1033,75.0954,235.9193,4.2332,462.8,138.6,129.2,14.2,0,744.8,282,143.4,14.2,0
C5608,2950.292,258.4252,811.8668,3.7758,2014.3,707.6,207.8,19.5,0.7,2949.9,935.6,228,20.2,0.7
S1510,1833.5011,137.2651,431.2311,3.0218,1329.9,423.7,67.7,8.9,2.3,1832.5,502.6,78.9,11.2,2.3
S1919,5846.5425,369.9845,1162.3406,2.83905,4650.3,961.8,212.7,16.1,0.8,5841.7,1191.4,229.6,16.9,0.8
S2307,1478.8416,79.6585,250.2544,2.1078,1233.1,236,8.9,0.2,0,1478.2,245.1,9.1,0.2,0
S2403,2937.8811,240.0048,753.9974,3.28355,2091.2,660.3,167.9,15.1,1.3,2935.8,844.6,184.3,16.4,1.3
S3117,1277.1527,146.5584,460.4272,4.4329,582.4,532.4,152.9,9.4,0,1277.1,694.7,162.3,9.4,0
S3603,1268.4575,113.1205,355.3783,3.4517,811.5,328.5,125.8,2,0,1267.8,456.3,127.8,2,0
