label ID,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),L00,L10,L20,L30,L40
N1008,4860.4815,296.3589,931.0394,0.532275,3806.986700000001,888.8293,161.1988,1.8429,0.1474
N1013,4021.144,278.5149,874.9805,0.7852,3645.6049,625.576,66.1444,2.754,0.1644
N1017,3422.334,204.5562,642.6322,0.6112,1954.2561000000003,783.712,59.2805,0.9471,0.0
N1020,2770.7851,179.4354,563.7129,0.6406,1779.3455000000004,619.8433,151.9949,1.6697,0.0586
N1105,2853.9117,183.6711,577.0201,0.64085,1999.0284,675.6555000000001,46.066,4.708600000000001,0.436
N1107,3568.3422,239.3569,751.9622,0.68465,1988.4898,936.8229,106.0595,11.2463,0.6672
N1109,4227.4407,303.512,953.5112,0.676366666666667,2844.3497,1126.0937,214.3305,3.9611,0.0449
N1116,3888.5392,195.8685,615.3393,0.49526,2535.0993,549.6527000000001,50.3395,0.5487,0.0
N1118,3933.7813,266.8411,838.3059,0.94279,2347.1808999999994,887.9229,185.75900000000004,23.815,3.1638
N1207,1446.9662,75.0872,235.8936,0.554366666666667,921.8444,184.716,16.639,0.375,0.0263
N1210,2441.3123,191.7887,602.5219,0.7855,2219.1471,466.5001,81.6287,4.4762,0.9675
N1212,1286.9387,76.2582,239.5722,0.58955,879.0505,273.4393,4.2874,0.1296,0.0
N1215,3359.9556,210.6019,661.6247,0.597433333333333,2191.2844999999998,839.6288000000001,43.5429,1.2334999999999998,0.0
N1216,1466.8714,203.7666,640.1517,1.14275,1407.2144999999998,763.061,284.69340000000005,61.7338,21.165
N1302,3888.1678,219.4611,689.4576,0.68905,2065.9036,794.0085,46.434000000000005,5.941099999999999,1.1542
N1308,1526.1128,169.1887,531.5219,1.08725,1466.2857,532.8992,170.515,43.1319,12.6765
N1310,2304.6939,187.8463,590.1365,0.833875,1885.246,903.6259,17.302699999999998,0.1941999999999999,0.0
N1314,1598.9174,80.298,252.2635,0.50335,1377.83,40.7892,0.238,0.0,0.0
N1319,1886.0294,129.6049,407.1661,0.6647,1255.6495,567.3106,23.378300000000003,0.0317,0.0
N1403,1471.1208,52.8816,166.1323,0.34255,622.5039,116.496,4.9522,0.0587,0.0
N1515,1864.3482,108.7562,341.6677,0.584233333333333,1209.7517,366.713,49.51389999999999,2.4304,0.3642
N1517,1329.5182,108.2098,339.9512,0.8139,1096.0336,350.3224,94.8134,13.0363,5.0251
N1707,1462.2708,87.0326,273.421,0.5942,1029.2291000000002,336.03810000000004,1.8965,0.0,0.0
N1710,1394.4635,113.5409,356.6992,0.78235,1211.6342000000002,328.03520000000003,79.45319999999998,1.006,0.35
N1712,1506.1021,117.7966,370.0689,0.7773,1000.6995000000002,524.4998,42.222,3.0083,0.4142
N1713,1395.1917,120.73,379.2844,0.8777,1103.4281,531.4005,62.4645,0.283,0.0
N1717,2176.4377,144.8518,455.0651,0.6903,1459.5883,605.4064000000001,28.8014,0.1262,0.0
N1718,1425.8271,132.6501,416.7328,0.93045,1198.4668,655.7422,16.629399999999997,0.0678,0.0
N1804,1886.7433,138.8977,436.36,0.7365,1477.307,601.7708999999999,20.262400000000003,0.2072,0.0
N1810,2144.343,185.7322,583.4946,0.8589,1668.3168999999996,763.1102999999999,132.8982,6.703,1.0081
N1811,1665.3148,116.9312,367.3501,0.64545,1522.8359,267.5704,30.8238,3.7987,0.9715
N1812,1917.5429,67.5179,212.1136,0.33265,675.7422,151.4209,5.3389,0.0,0.0
